,File Size,Month,Date,Time,File Name,Recording Status
0,222M,Jul,5,11:59,20220705_185210.WAV,full with data
1,856M,Jul,5,12:29,20220705_190000.WAV,full with data
2,856M,Jul,5,12:59,20220705_193000.WAV,full with data
3,856M,Jul,5,13:29,20220705_200000.WAV,full with data
4,856M,Jul,5,13:59,20220705_203000.WAV,full with data
5,856M,Jul,5,14:29,20220705_210000.WAV,full with data
6,856M,Jul,5,14:59,20220705_213000.WAV,full with data
7,856M,Jul,5,15:29,20220705_220000.WAV,full with data
8,856M,Jul,5,15:59,20220705_223000.WAV,full with data
9,856M,Jul,5,16:29,20220705_230000.WAV,full with data
10,856M,Jul,5,16:59,20220705_233000.WAV,full with data
11,856M,Jul,5,17:29,20220706_000000.WAV,full with data
12,856M,Jul,5,17:59,20220706_003000.WAV,full with data
13,856M,Jul,5,18:29,20220706_010000.WAV,full with data
14,856M,Jul,5,18:59,20220706_013000.WAV,full with data
15,856M,Jul,5,19:29,20220706_020000.WAV,full with data
16,856M,Jul,5,19:59,20220706_023000.WAV,full with data
17,856M,Jul,5,20:29,20220706_030000.WAV,full with data
18,856M,Jul,5,20:59,20220706_033000.WAV,full with data
19,856M,Jul,5,21:29,20220706_040000.WAV,full with data
20,730M,Jul,5,21:55,20220706_043000.WAV,full with data
21,126M,Jul,5,21:59,20220706_045531.WAV,full with no data
22,856M,Jul,5,22:29,20220706_050000.WAV,full with no data
23,856M,Jul,5,22:59,20220706_053000.WAV,full with no data
24,856M,Jul,5,23:29,20220706_060000.WAV,full with no data
25,856M,Jul,5,23:59,20220706_063000.WAV,full with no data
26,856M,Jul,6,0:29,20220706_070000.WAV,full with no data
27,856M,Jul,6,0:59,20220706_073000.WAV,full with no data
28,856M,Jul,6,1:29,20220706_080000.WAV,full with no data
29,856M,Jul,6,1:59,20220706_083000.WAV,full with no data
30,856M,Jul,6,2:29,20220706_090000.WAV,full with no data
31,856M,Jul,6,2:59,20220706_093000.WAV,full with no data
32,856M,Jul,6,3:29,20220706_100000.WAV,full with no data
33,856M,Jul,6,3:59,20220706_103000.WAV,full with no data
34,856M,Jul,6,4:29,20220706_110000.WAV,full with no data
35,856M,Jul,6,4:59,20220706_113000.WAV,full with no data
36,856M,Jul,6,5:29,20220706_120000.WAV,full with no data
37,856M,Jul,6,5:59,20220706_123000.WAV,full with no data
38,856M,Jul,6,6:29,20220706_130000.WAV,full with no data
39,856M,Jul,6,6:59,20220706_133000.WAV,full with no data
40,856M,Jul,6,7:29,20220706_140000.WAV,full with no data
41,856M,Jul,6,7:59,20220706_143000.WAV,full with no data
42,856M,Jul,6,8:29,20220706_150000.WAV,full with no data
43,856M,Jul,6,8:59,20220706_153000.WAV,full with no data
44,856M,Jul,6,9:29,20220706_160000.WAV,full with no data
45,856M,Jul,6,9:59,20220706_163000.WAV,full with no data
46,856M,Jul,6,10:29,20220706_170000.WAV,full with no data
47,856M,Jul,6,10:59,20220706_173000.WAV,full with no data
48,856M,Jul,6,11:29,20220706_180000.WAV,full with no data
49,856M,Jul,6,11:59,20220706_183000.WAV,full with no data
50,856M,Jul,6,12:29,20220706_190000.WAV,full with no data
51,856M,Jul,6,12:59,20220706_193000.WAV,full with no data
52,856M,Jul,6,13:29,20220706_200000.WAV,full with no data
53,856M,Jul,6,13:59,20220706_203000.WAV,full with no data
54,856M,Jul,6,14:29,20220706_210000.WAV,full with no data
55,856M,Jul,6,14:59,20220706_213000.WAV,full with no data
56,856M,Jul,6,15:29,20220706_220000.WAV,full with no data
57,856M,Jul,6,15:59,20220706_223000.WAV,full with no data
58,856M,Jul,6,16:29,20220706_230000.WAV,full with no data
59,856M,Jul,6,16:59,20220706_233000.WAV,full with no data
60,856M,Jul,6,17:29,20220707_000000.WAV,full with no data
61,856M,Jul,6,17:59,20220707_003000.WAV,full with no data
62,856M,Jul,6,18:29,20220707_010000.WAV,full with no data
63,856M,Jul,6,18:59,20220707_013000.WAV,full with no data
64,856M,Jul,6,19:29,20220707_020000.WAV,full with no data
65,856M,Jul,6,19:59,20220707_023000.WAV,full with no data
66,856M,Jul,6,20:29,20220707_030000.WAV,full with no data
67,856M,Jul,6,20:59,20220707_033000.WAV,full with no data
68,856M,Jul,6,21:29,20220707_040000.WAV,full with no data
69,856M,Jul,6,21:59,20220707_043000.WAV,full with no data
70,856M,Jul,6,22:29,20220707_050000.WAV,full with no data
71,856M,Jul,6,22:59,20220707_053000.WAV,full with no data
72,856M,Jul,6,23:29,20220707_060000.WAV,full with no data
73,856M,Jul,6,23:59,20220707_063000.WAV,full with no data
74,856M,Jul,7,0:29,20220707_070000.WAV,full with no data
75,856M,Jul,7,0:59,20220707_073000.WAV,full with no data
76,856M,Jul,7,1:29,20220707_080000.WAV,full with no data
77,856M,Jul,7,1:59,20220707_083000.WAV,full with no data
78,856M,Jul,7,2:29,20220707_090000.WAV,full with no data
79,856M,Jul,7,2:59,20220707_093000.WAV,full with no data
80,856M,Jul,7,3:29,20220707_100000.WAV,full with no data
81,856M,Jul,7,3:59,20220707_103000.WAV,full with no data
82,856M,Jul,7,4:29,20220707_110000.WAV,full with no data
83,856M,Jul,7,4:59,20220707_113000.WAV,full with no data
84,856M,Jul,7,5:29,20220707_120000.WAV,full with no data
85,856M,Jul,7,5:59,20220707_123000.WAV,full with no data
86,856M,Jul,7,6:29,20220707_130000.WAV,full with no data
87,856M,Jul,7,6:59,20220707_133000.WAV,full with no data
88,856M,Jul,7,7:29,20220707_140000.WAV,full with no data
89,856M,Jul,7,7:59,20220707_143000.WAV,full with no data
90,856M,Jul,7,8:29,20220707_150000.WAV,full with no data
91,856M,Jul,7,8:59,20220707_153000.WAV,full with no data
92,856M,Jul,7,9:29,20220707_160000.WAV,full with no data
93,856M,Jul,7,9:59,20220707_163000.WAV,full with no data
94,856M,Jul,7,10:29,20220707_170000.WAV,full with no data
95,856M,Jul,7,10:59,20220707_173000.WAV,full with no data
96,856M,Jul,7,11:29,20220707_180000.WAV,full with no data
97,856M,Jul,7,11:59,20220707_183000.WAV,full with no data
98,173M,Jul,7,12:06,20220707_190000.WAV,full with no data
99,800K,Jul,7,12:06,20220707_190604.WAV,full with data
