Date and Time deployed (local) , Date and Time recovered (local) , AudioMoth # , SD card # , SD card size (GB) , Amount of data recovered (GB) , Site , Latitude , Longitude , Sampling rate (Hz) , Gain , Filter , Amplitude threshold , ON (secs) , OFF (secs) , Battery start (V) , Battery end (V) , Deployer , Scribe , Uploader , Upload folder name , Notes
2025-02-24T09:47:00 , 2025-03-03T10:42:00 , K , 032 , 256 , 84 , Foliage , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.005 , 3.808 , AL , AM , AK , recover-20250303 , 9 Ikea Batteries 0:00-24:00 UTC; K is a newly added 9-battery Audiomoth
2025-02-24T09:47:00 , 2025-03-03T10:51:00 , B , 027 , 256 , 109 , Telephone Field , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.124 , 3.842 , AL , AM , AK , recover-20250303 , 9 Ikea Batteries 0:00-24:00 UTC
2025-02-24T09:47:00 , 2025-03-03T10:16:00 , H , 028 , 256 , 109 , E18 Bridge, (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.121 , 3.847 , AL , AM , AK , recover-20250303 , 9 Ikea Batteries 0:00-24:00 UTC
2025-02-24T10:21:00 , 2025-03-03T10:24:00 , A , 026 , 256 , 109 , Carp Pond , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.066 , 3.790 , AL , AM , AK , recover-20250303 , 9 Ikea Batteries 0:00-24:00 UTC; A is a newly added 9-battery Audiomoth
2025-02-24T09:47:00 , 2025-03-03T10:36:00 , G , 031 , 256 , 70 , Central Pond , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.023 , 3.198 , AL , AM , AK , recover-20250303 , 9 Ikea Batteries 0:00-24:00 UTC
2025-03-03T09:49:00 , 2025-03-10T10:49:00 , M , 024 , 256 , 116.1 , Telephone Field , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.244 , 3.780 , AL , AM , AL , recover-20250310 , 6 Ikea Batteries 0:00-24:00 UTC
2025-03-03T09:49:00 , 2025-03-10T10:01:00 , D , 022 , 256 , 115.6 , E18 Bridge , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.235 , 3.781 , AL , AM , AL , recover-20250310 , 6 Ikea Batteries 0:00-24:00 UTC
2025-03-03T09:49:00 , 2025-03-10T10:39:00 , E , 033 , 256 , 116 , Foliage , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.299 , 3.763 , AL , AM , AL , recover-20250310 , 6 Ikea Batteries 0:00-24:00 UTC
2025-03-03T09:49:00 , 2025-03-10T10:16:00 , J , 029 , 256 , 115.8 , Carp Pond , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.248 , 3.791 , AL , AM , AL , recover-20250310 , 6 Ikea Batteries 0:00-24:00 UTC; J is a 9-battery Audiomoth with one 3-battery pack temporarily removed
2025-03-03T09:49:00 , 2025-03-10T10:34:00 , Q , 025 , 256 , 116 , Central Pond , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.179 , 3.770 , AL , AM , AL , recover-20250310 , 6 Ikea Batteries 0:00-24:00 UTC; Q is a 9-battery Audiomoth with one 3-battery pack temporarily removed
2025-03-10T09:30:00 , 2025-03-17T10:40:00 , N , 028 , 256 , 116.9 , Foliage , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.115 , 3.822 , AL , AM , AL , recover-20250317 , 9 Ikea Batteries 0:00-24:00 UTC
2025-03-10T10:33:00 , 2025-03-17T10:28:00 , C , 026 , 256 , 116.7 , Central Pond , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.099 , 3.788 , AL , AM , AL , recover-20250317 , 9 Ikea Batteries 0:00-24:00 UTC
2025-03-10T09:30:00 , 2025-03-17T10:49:00 , K , 009 , 128 , 105.3 , Telephone Field , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.105 , 3.851 , AL , AM , AL , recover-20250317 , 9 Ikea Batteries 0:00-24:00 UTC; 128GB SD card due to 256GB SD card being used for in-lab experiments
2025-03-10T10:01:00 , 2025-03-17T10:03:00 , B , 030 , 256 , 116.2 , E18 Bridge , (LATITUDE) , (LONGITUDE) , 192000 , Medium , None , None , 300 , 300 , 4.143 , 3.851 , AL , AM , AL , recover-20250317 , 9 Ikea Batteries 0:00-24:00 UTC
