Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	711.946238000	711.947262000	22000.000	38000.000	1.0000
1	Spectrogram 1	1	711.946238000	711.947262000	22000.000	38000.000	1.0000
2	Waveform 1	1	927.686142000	927.691262000	22000.000	38000.000	0.2000
2	Spectrogram 1	1	927.686142000	927.691262000	22000.000	38000.000	0.2000
3	Waveform 1	1	1008.636414000	1008.713214000	22000.000	38000.000	0.2400
3	Spectrogram 1	1	1008.636414000	1008.713214000	22000.000	38000.000	0.2400
4	Waveform 1	1	1008.856574000	1008.928766000	22000.000	38000.000	0.1986
4	Spectrogram 1	1	1008.856574000	1008.928766000	22000.000	38000.000	0.1986
5	Waveform 1	1	1009.753086000	1009.848318000	22000.000	38000.000	0.2957
5	Spectrogram 1	1	1009.753086000	1009.848318000	22000.000	38000.000	0.2957
