Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	1203.537406000	1203.538430000	38000.000	81000.000	1.0000
1	Spectrogram 1	1	1203.537406000	1203.538430000	38000.000	81000.000	1.0000
2	Waveform 1	1	1203.581950000	1203.582974000	38000.000	81000.000	1.0000
2	Spectrogram 1	1	1203.581950000	1203.582974000	38000.000	81000.000	1.0000
3	Waveform 1	1	1203.639806000	1203.642366000	38000.000	81000.000	1.0000
3	Spectrogram 1	1	1203.639806000	1203.642366000	38000.000	81000.000	1.0000
4	Waveform 1	1	1203.694078000	1203.695102000	38000.000	81000.000	1.0000
4	Spectrogram 1	1	1203.694078000	1203.695102000	38000.000	81000.000	1.0000
5	Waveform 1	1	1203.751934000	1203.754494000	38000.000	81000.000	1.0000
5	Spectrogram 1	1	1203.751934000	1203.754494000	38000.000	81000.000	1.0000
6	Waveform 1	1	1204.065790000	1204.073982000	38000.000	81000.000	0.5625
6	Spectrogram 1	1	1204.065790000	1204.073982000	38000.000	81000.000	0.5625
7	Waveform 1	1	1204.150782000	1204.151806000	38000.000	81000.000	1.0000
7	Spectrogram 1	1	1204.150782000	1204.151806000	38000.000	81000.000	1.0000
8	Waveform 1	1	1204.241406000	1204.251646000	38000.000	81000.000	0.8000
8	Spectrogram 1	1	1204.241406000	1204.251646000	38000.000	81000.000	0.8000
9	Waveform 1	1	1204.334590000	1204.336126000	38000.000	81000.000	1.0000
9	Spectrogram 1	1	1204.334590000	1204.336126000	38000.000	81000.000	1.0000
10	Waveform 1	1	1204.424190000	1204.434942000	38000.000	81000.000	0.7143
10	Spectrogram 1	1	1204.424190000	1204.434942000	38000.000	81000.000	0.7143
11	Waveform 1	1	1204.556798000	1204.564990000	38000.000	81000.000	0.6875
11	Spectrogram 1	1	1204.556798000	1204.564990000	38000.000	81000.000	0.6875
12	Waveform 1	1	1204.742654000	1204.745726000	38000.000	81000.000	0.6667
12	Spectrogram 1	1	1204.742654000	1204.745726000	38000.000	81000.000	0.6667
13	Waveform 1	1	1204.931070000	1204.932094000	38000.000	81000.000	1.0000
13	Spectrogram 1	1	1204.931070000	1204.932094000	38000.000	81000.000	1.0000
14	Waveform 1	1	1205.208574000	1205.209598000	38000.000	81000.000	1.0000
14	Spectrogram 1	1	1205.208574000	1205.209598000	38000.000	81000.000	1.0000
15	Waveform 1	1	1205.270526000	1205.272574000	38000.000	81000.000	1.0000
15	Spectrogram 1	1	1205.270526000	1205.272574000	38000.000	81000.000	1.0000
16	Waveform 1	1	1205.507070000	1205.508094000	38000.000	81000.000	1.0000
16	Spectrogram 1	1	1205.507070000	1205.508094000	38000.000	81000.000	1.0000
