Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	982.377470000	982.378494000	38000.000	81000.000	1.0000
1	Spectrogram 1	1	982.377470000	982.378494000	38000.000	81000.000	1.0000
2	Waveform 1	1	983.394814000	983.395838000	38000.000	81000.000	1.0000
2	Spectrogram 1	1	983.394814000	983.395838000	38000.000	81000.000	1.0000
3	Waveform 1	1	984.151038000	984.152062000	38000.000	81000.000	1.0000
3	Spectrogram 1	1	984.151038000	984.152062000	38000.000	81000.000	1.0000
4	Waveform 1	1	984.797694000	984.798718000	38000.000	81000.000	1.0000
4	Spectrogram 1	1	984.797694000	984.798718000	38000.000	81000.000	1.0000
5	Waveform 1	1	984.867326000	984.868350000	38000.000	81000.000	1.0000
5	Spectrogram 1	1	984.867326000	984.868350000	38000.000	81000.000	1.0000
6	Waveform 1	1	985.069566000	985.070590000	38000.000	81000.000	1.0000
6	Spectrogram 1	1	985.069566000	985.070590000	38000.000	81000.000	1.0000
7	Waveform 1	1	1545.562110000	1545.563646000	38000.000	81000.000	1.0000
7	Spectrogram 1	1	1545.562110000	1545.563646000	38000.000	81000.000	1.0000
8	Waveform 1	1	1545.772030000	1545.773054000	38000.000	81000.000	1.0000
8	Spectrogram 1	1	1545.772030000	1545.773054000	38000.000	81000.000	1.0000
9	Waveform 1	1	1545.926142000	1545.927166000	38000.000	81000.000	1.0000
9	Spectrogram 1	1	1545.926142000	1545.927166000	38000.000	81000.000	1.0000
10	Waveform 1	1	1546.061310000	1546.062334000	38000.000	81000.000	1.0000
10	Spectrogram 1	1	1546.061310000	1546.062334000	38000.000	81000.000	1.0000
11	Waveform 1	1	1546.112510000	1546.114046000	38000.000	81000.000	1.0000
11	Spectrogram 1	1	1546.112510000	1546.114046000	38000.000	81000.000	1.0000
12	Waveform 1	1	1546.177022000	1546.179070000	38000.000	81000.000	0.7500
12	Spectrogram 1	1	1546.177022000	1546.179070000	38000.000	81000.000	0.7500
13	Waveform 1	1	1546.234366000	1546.235390000	38000.000	81000.000	1.0000
13	Spectrogram 1	1	1546.234366000	1546.235390000	38000.000	81000.000	1.0000
14	Waveform 1	1	1546.284030000	1546.285566000	38000.000	81000.000	1.0000
14	Spectrogram 1	1	1546.284030000	1546.285566000	38000.000	81000.000	1.0000
15	Waveform 1	1	1547.112958000	1547.113982000	38000.000	81000.000	1.0000
15	Spectrogram 1	1	1547.112958000	1547.113982000	38000.000	81000.000	1.0000
16	Waveform 1	1	1547.158526000	1547.161598000	38000.000	81000.000	0.5000
16	Spectrogram 1	1	1547.158526000	1547.161598000	38000.000	81000.000	0.5000
17	Waveform 1	1	1547.216382000	1547.218430000	38000.000	81000.000	1.0000
17	Spectrogram 1	1	1547.216382000	1547.218430000	38000.000	81000.000	1.0000
18	Waveform 1	1	1547.276798000	1547.281406000	38000.000	81000.000	1.0000
18	Spectrogram 1	1	1547.276798000	1547.281406000	38000.000	81000.000	1.0000
19	Waveform 1	1	1547.317246000	1547.321342000	38000.000	81000.000	0.7500
19	Spectrogram 1	1	1547.317246000	1547.321342000	38000.000	81000.000	0.7500
20	Waveform 1	1	1547.373054000	1547.379198000	38000.000	81000.000	0.8333
20	Spectrogram 1	1	1547.373054000	1547.379198000	38000.000	81000.000	0.8333
21	Waveform 1	1	1547.419646000	1547.425790000	38000.000	81000.000	0.9167
21	Spectrogram 1	1	1547.419646000	1547.425790000	38000.000	81000.000	0.9167
22	Waveform 1	1	1547.469310000	1547.476990000	38000.000	81000.000	0.7333
22	Spectrogram 1	1	1547.469310000	1547.476990000	38000.000	81000.000	0.7333
23	Waveform 1	1	1547.537406000	1547.547134000	38000.000	81000.000	0.9474
23	Spectrogram 1	1	1547.537406000	1547.547134000	38000.000	81000.000	0.9474
24	Waveform 1	1	1547.601406000	1547.613182000	38000.000	81000.000	0.6522
24	Spectrogram 1	1	1547.601406000	1547.613182000	38000.000	81000.000	0.6522
25	Waveform 1	1	1547.649534000	1547.651070000	38000.000	81000.000	1.0000
25	Spectrogram 1	1	1547.649534000	1547.651070000	38000.000	81000.000	1.0000
26	Waveform 1	1	1547.701758000	1547.713534000	38000.000	81000.000	0.7391
26	Spectrogram 1	1	1547.701758000	1547.713534000	38000.000	81000.000	0.7391
27	Waveform 1	1	1547.764734000	1547.777534000	38000.000	81000.000	0.9200
27	Spectrogram 1	1	1547.764734000	1547.777534000	38000.000	81000.000	0.9200
28	Waveform 1	1	1547.845630000	1547.857406000	38000.000	81000.000	0.8696
28	Spectrogram 1	1	1547.845630000	1547.857406000	38000.000	81000.000	0.8696
29	Waveform 1	1	1547.923966000	1547.933694000	38000.000	81000.000	0.8947
29	Spectrogram 1	1	1547.923966000	1547.933694000	38000.000	81000.000	0.8947
30	Waveform 1	1	1548.000254000	1548.013054000	38000.000	81000.000	0.4400
30	Spectrogram 1	1	1548.000254000	1548.013054000	38000.000	81000.000	0.4400
31	Waveform 1	1	1548.078078000	1548.082686000	38000.000	81000.000	0.4444
31	Spectrogram 1	1	1548.078078000	1548.082686000	38000.000	81000.000	0.4444
32	Waveform 1	1	1548.165118000	1548.176894000	38000.000	81000.000	0.5652
32	Spectrogram 1	1	1548.165118000	1548.176894000	38000.000	81000.000	0.5652
33	Waveform 1	1	1548.216318000	1548.220414000	38000.000	81000.000	0.3750
33	Spectrogram 1	1	1548.216318000	1548.220414000	38000.000	81000.000	0.3750
34	Waveform 1	1	1548.269566000	1548.270590000	38000.000	81000.000	1.0000
34	Spectrogram 1	1	1548.269566000	1548.270590000	38000.000	81000.000	1.0000
35	Waveform 1	1	1573.878270000	1573.879806000	38000.000	81000.000	1.0000
35	Spectrogram 1	1	1573.878270000	1573.879806000	38000.000	81000.000	1.0000
36	Waveform 1	1	1574.030334000	1574.032382000	38000.000	81000.000	0.7500
36	Spectrogram 1	1	1574.030334000	1574.032382000	38000.000	81000.000	0.7500
37	Waveform 1	1	1574.102526000	1574.103550000	38000.000	81000.000	1.0000
37	Spectrogram 1	1	1574.102526000	1574.103550000	38000.000	81000.000	1.0000
38	Waveform 1	1	1574.180862000	1574.181886000	38000.000	81000.000	1.0000
38	Spectrogram 1	1	1574.180862000	1574.181886000	38000.000	81000.000	1.0000
39	Waveform 1	1	1574.263294000	1574.265342000	38000.000	81000.000	0.7500
39	Spectrogram 1	1	1574.263294000	1574.265342000	38000.000	81000.000	0.7500
40	Waveform 1	1	1574.338046000	1574.339582000	38000.000	81000.000	1.0000
40	Spectrogram 1	1	1574.338046000	1574.339582000	38000.000	81000.000	1.0000
41	Waveform 1	1	1574.389758000	1574.390782000	38000.000	81000.000	1.0000
41	Spectrogram 1	1	1574.389758000	1574.390782000	38000.000	81000.000	1.0000
42	Waveform 1	1	1574.444030000	1574.445566000	38000.000	81000.000	1.0000
42	Spectrogram 1	1	1574.444030000	1574.445566000	38000.000	81000.000	1.0000
43	Waveform 1	1	1574.513662000	1574.514686000	38000.000	81000.000	1.0000
43	Spectrogram 1	1	1574.513662000	1574.514686000	38000.000	81000.000	1.0000
44	Waveform 1	1	1574.586878000	1574.587902000	38000.000	81000.000	1.0000
44	Spectrogram 1	1	1574.586878000	1574.587902000	38000.000	81000.000	1.0000
45	Waveform 1	1	1574.790654000	1574.791678000	38000.000	81000.000	1.0000
45	Spectrogram 1	1	1574.790654000	1574.791678000	38000.000	81000.000	1.0000
46	Waveform 1	1	1575.182334000	1575.183358000	38000.000	81000.000	1.0000
46	Spectrogram 1	1	1575.182334000	1575.183358000	38000.000	81000.000	1.0000
47	Waveform 1	1	1575.271422000	1575.272958000	38000.000	81000.000	1.0000
47	Spectrogram 1	1	1575.271422000	1575.272958000	38000.000	81000.000	1.0000
48	Waveform 1	1	1575.330302000	1575.333374000	38000.000	81000.000	0.8333
48	Spectrogram 1	1	1575.330302000	1575.333374000	38000.000	81000.000	0.8333
49	Waveform 1	1	1575.395838000	1575.398910000	38000.000	81000.000	1.0000
49	Spectrogram 1	1	1575.395838000	1575.398910000	38000.000	81000.000	1.0000
50	Waveform 1	1	1575.441406000	1575.443454000	38000.000	81000.000	1.0000
50	Spectrogram 1	1	1575.441406000	1575.443454000	38000.000	81000.000	1.0000
51	Waveform 1	1	1575.494654000	1575.499262000	38000.000	81000.000	0.8889
51	Spectrogram 1	1	1575.494654000	1575.499262000	38000.000	81000.000	0.8889
52	Waveform 1	1	1575.547390000	1575.552510000	38000.000	81000.000	0.7000
52	Spectrogram 1	1	1575.547390000	1575.552510000	38000.000	81000.000	0.7000
53	Waveform 1	1	1575.622654000	1575.630334000	38000.000	81000.000	0.7333
53	Spectrogram 1	1	1575.622654000	1575.630334000	38000.000	81000.000	0.7333
54	Waveform 1	1	1575.691774000	1575.700990000	38000.000	81000.000	0.3333
54	Spectrogram 1	1	1575.691774000	1575.700990000	38000.000	81000.000	0.3333
55	Waveform 1	1	1575.772158000	1575.782398000	38000.000	81000.000	0.5000
55	Spectrogram 1	1	1575.772158000	1575.782398000	38000.000	81000.000	0.5000
56	Waveform 1	1	1575.847934000	1575.861246000	38000.000	81000.000	0.6923
56	Spectrogram 1	1	1575.847934000	1575.861246000	38000.000	81000.000	0.6923
57	Waveform 1	1	1575.894526000	1575.905790000	38000.000	81000.000	0.4545
57	Spectrogram 1	1	1575.894526000	1575.905790000	38000.000	81000.000	0.4545
58	Waveform 1	1	1575.948286000	1575.959550000	38000.000	81000.000	0.5000
58	Spectrogram 1	1	1575.948286000	1575.959550000	38000.000	81000.000	0.5000
59	Waveform 1	1	1576.010238000	1576.022526000	38000.000	81000.000	0.8750
59	Spectrogram 1	1	1576.010238000	1576.022526000	38000.000	81000.000	0.8750
60	Waveform 1	1	1576.093182000	1576.104446000	38000.000	81000.000	0.4545
