Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	4.075997396	4.083330729	22000.000	38000.000	0.1818
1	Spectrogram 1	1	4.075997396	4.083330729	22000.000	38000.000	0.1818
2	Waveform 1	1	29.345330729	29.364664063	22000.000	38000.000	0.1034
2	Spectrogram 1	1	29.345330729	29.364664063	22000.000	38000.000	0.1034
3	Waveform 1	1	30.010664063	30.019997396	22000.000	38000.000	0.2143
3	Spectrogram 1	1	30.010664063	30.019997396	22000.000	38000.000	0.2143
4	Waveform 1	1	34.502664063	34.505330729	22000.000	38000.000	0.5000
4	Spectrogram 1	1	34.502664063	34.505330729	22000.000	38000.000	0.5000
5	Waveform 1	1	81.356664062	81.372664062	22000.000	38000.000	0.0833
5	Spectrogram 1	1	81.356664062	81.372664062	22000.000	38000.000	0.0833
6	Waveform 1	1	81.644664062	81.647330729	22000.000	38000.000	0.5000
6	Spectrogram 1	1	81.644664062	81.647330729	22000.000	38000.000	0.5000
7	Waveform 1	1	81.919330729	81.928664062	22000.000	38000.000	0.2143
7	Spectrogram 1	1	81.919330729	81.928664062	22000.000	38000.000	0.2143
8	Waveform 1	1	83.299997396	83.305330729	22000.000	38000.000	0.2500
8	Spectrogram 1	1	83.299997396	83.305330729	22000.000	38000.000	0.2500
9	Waveform 1	1	83.875330729	83.876664062	22000.000	38000.000	1.0000
9	Spectrogram 1	1	83.875330729	83.876664062	22000.000	38000.000	1.0000
10	Waveform 1	1	84.381997396	84.387330729	22000.000	38000.000	0.2500
10	Spectrogram 1	1	84.381997396	84.387330729	22000.000	38000.000	0.2500
11	Waveform 1	1	86.100664062	86.131997396	22000.000	38000.000	0.2766
11	Spectrogram 1	1	86.100664062	86.131997396	22000.000	38000.000	0.2766
12	Waveform 1	1	86.780664062	86.800664062	22000.000	38000.000	0.1000
12	Spectrogram 1	1	86.780664062	86.800664062	22000.000	38000.000	0.1000
13	Waveform 1	1	87.348664062	87.352664062	22000.000	38000.000	0.3333
13	Spectrogram 1	1	87.348664062	87.352664062	22000.000	38000.000	0.3333
14	Waveform 1	1	88.731330729	88.733997396	22000.000	38000.000	0.5000
14	Spectrogram 1	1	88.731330729	88.733997396	22000.000	38000.000	0.5000
15	Waveform 1	1	156.204664063	156.217997396	22000.000	38000.000	0.2000
15	Spectrogram 1	1	156.204664063	156.217997396	22000.000	38000.000	0.2000
16	Waveform 1	1	156.651997396	156.683330729	22000.000	38000.000	0.2128
16	Spectrogram 1	1	156.651997396	156.683330729	22000.000	38000.000	0.2128
17	Waveform 1	1	157.495330729	157.513330729	22000.000	38000.000	0.1852
17	Spectrogram 1	1	157.495330729	157.513330729	22000.000	38000.000	0.1852
18	Waveform 1	1	158.397997396	158.431997396	22000.000	38000.000	0.0784
18	Spectrogram 1	1	158.397997396	158.431997396	22000.000	38000.000	0.0784
19	Waveform 1	1	159.151997396	159.186664063	22000.000	38000.000	0.1154
19	Spectrogram 1	1	159.151997396	159.186664063	22000.000	38000.000	0.1154
20	Waveform 1	1	159.897330729	159.914664062	22000.000	38000.000	0.1154
20	Spectrogram 1	1	159.897330729	159.914664062	22000.000	38000.000	0.1154
21	Waveform 1	1	161.509997396	161.519330729	22000.000	38000.000	0.2143
21	Spectrogram 1	1	161.509997396	161.519330729	22000.000	38000.000	0.2143
22	Waveform 1	1	166.893330729	166.907330729	22000.000	38000.000	0.0952
22	Spectrogram 1	1	166.893330729	166.907330729	22000.000	38000.000	0.0952
23	Waveform 1	1	168.164664062	168.195997396	22000.000	38000.000	0.1277
23	Spectrogram 1	1	168.164664062	168.195997396	22000.000	38000.000	0.1277
24	Waveform 1	1	176.380664062	176.401997396	22000.000	38000.000	0.2188
24	Spectrogram 1	1	176.380664062	176.401997396	22000.000	38000.000	0.2188
25	Waveform 1	1	178.040664062	178.043330729	22000.000	38000.000	0.7500
25	Spectrogram 1	1	178.040664062	178.043330729	22000.000	38000.000	0.7500
26	Waveform 1	1	204.033997396	204.040664062	22000.000	38000.000	0.5000
26	Spectrogram 1	1	204.033997396	204.040664062	22000.000	38000.000	0.5000
27	Waveform 1	1	204.737330729	204.757997396	22000.000	38000.000	0.3226
27	Spectrogram 1	1	204.737330729	204.757997396	22000.000	38000.000	0.3226
28	Waveform 1	1	205.428664062	205.458664062	22000.000	38000.000	0.1778
28	Spectrogram 1	1	205.428664062	205.458664062	22000.000	38000.000	0.1778
29	Waveform 1	1	205.712664062	205.757997396	22000.000	38000.000	0.1618
29	Spectrogram 1	1	205.712664062	205.757997396	22000.000	38000.000	0.1618
30	Waveform 1	1	206.261997396	206.277330729	22000.000	38000.000	0.2609
30	Spectrogram 1	1	206.261997396	206.277330729	22000.000	38000.000	0.2609
31	Waveform 1	1	207.840664062	207.857330729	22000.000	38000.000	0.2800
31	Spectrogram 1	1	207.840664062	207.857330729	22000.000	38000.000	0.2800
32	Waveform 1	1	208.548664062	208.558664062	22000.000	38000.000	0.1333
32	Spectrogram 1	1	208.548664062	208.558664062	22000.000	38000.000	0.1333
33	Waveform 1	1	228.768664062	228.779330729	22000.000	38000.000	0.1875
33	Spectrogram 1	1	228.768664062	228.779330729	22000.000	38000.000	0.1875
34	Waveform 1	1	229.345997396	229.362664062	22000.000	38000.000	0.1200
34	Spectrogram 1	1	229.345997396	229.362664062	22000.000	38000.000	0.1200
35	Waveform 1	1	229.928664062	229.948664063	22000.000	38000.000	0.1000
35	Spectrogram 1	1	229.928664062	229.948664063	22000.000	38000.000	0.1000
36	Waveform 1	1	230.361330729	230.362664062	22000.000	38000.000	1.0000
36	Spectrogram 1	1	230.361330729	230.362664062	22000.000	38000.000	1.0000
37	Waveform 1	1	271.615997396	271.634664063	22000.000	38000.000	0.2143
37	Spectrogram 1	1	271.615997396	271.634664063	22000.000	38000.000	0.2143
38	Waveform 1	1	272.305330729	272.331997396	22000.000	38000.000	0.0750
38	Spectrogram 1	1	272.305330729	272.331997396	22000.000	38000.000	0.0750
39	Waveform 1	1	273.076664063	273.115997396	22000.000	38000.000	0.1017
39	Spectrogram 1	1	273.076664063	273.115997396	22000.000	38000.000	0.1017
40	Waveform 1	1	273.367997396	273.401330729	22000.000	38000.000	0.0800
40	Spectrogram 1	1	273.367997396	273.401330729	22000.000	38000.000	0.0800
41	Waveform 1	1	274.757997396	274.762664062	22000.000	38000.000	0.5714
41	Spectrogram 1	1	274.757997396	274.762664062	22000.000	38000.000	0.5714
42	Waveform 1	1	290.963997396	290.971330729	22000.000	38000.000	0.1818
42	Spectrogram 1	1	290.963997396	290.971330729	22000.000	38000.000	0.1818
43	Waveform 1	1	297.278664063	297.285997396	22000.000	38000.000	0.4545
43	Spectrogram 1	1	297.278664063	297.285997396	22000.000	38000.000	0.4545
44	Waveform 1	1	297.947330729	297.996664062	22000.000	38000.000	0.2838
44	Spectrogram 1	1	297.947330729	297.996664062	22000.000	38000.000	0.2838
45	Waveform 1	1	298.483330729	298.508664062	22000.000	38000.000	0.2105
45	Spectrogram 1	1	298.483330729	298.508664062	22000.000	38000.000	0.2105
46	Waveform 1	1	298.771997396	298.825997396	22000.000	38000.000	0.1605
46	Spectrogram 1	1	298.771997396	298.825997396	22000.000	38000.000	0.1605
47	Waveform 1	1	300.236664062	300.249997396	22000.000	38000.000	0.1000
47	Spectrogram 1	1	300.236664062	300.249997396	22000.000	38000.000	0.1000
48	Waveform 1	1	439.468664063	439.485330729	22000.000	38000.000	0.1200
48	Spectrogram 1	1	439.468664063	439.485330729	22000.000	38000.000	0.1200
49	Waveform 1	1	440.154664062	440.203330729	22000.000	38000.000	0.0959
49	Spectrogram 1	1	440.154664062	440.203330729	22000.000	38000.000	0.0959
50	Waveform 1	1	440.855997396	440.872664063	22000.000	38000.000	0.0800
50	Spectrogram 1	1	440.855997396	440.872664063	22000.000	38000.000	0.0800
51	Waveform 1	1	441.447330729	441.451330729	22000.000	38000.000	0.6667
51	Spectrogram 1	1	441.447330729	441.451330729	22000.000	38000.000	0.6667
52	Waveform 1	1	442.284664062	442.317330729	22000.000	38000.000	0.0816
52	Spectrogram 1	1	442.284664062	442.317330729	22000.000	38000.000	0.0816
53	Waveform 1	1	443.103997396	443.109997396	22000.000	38000.000	0.2222
53	Spectrogram 1	1	443.103997396	443.109997396	22000.000	38000.000	0.2222
54	Waveform 1	1	444.907997396	444.923330729	22000.000	38000.000	0.0870
54	Spectrogram 1	1	444.907997396	444.923330729	22000.000	38000.000	0.0870
55	Waveform 1	1	471.713330729	471.721330729	22000.000	38000.000	0.1667
55	Spectrogram 1	1	471.713330729	471.721330729	22000.000	38000.000	0.1667
56	Waveform 1	1	472.459997396	472.479997396	22000.000	38000.000	0.2000
56	Spectrogram 1	1	472.459997396	472.479997396	22000.000	38000.000	0.2000
57	Waveform 1	1	472.746664062	472.764664063	22000.000	38000.000	0.1852
57	Spectrogram 1	1	472.746664062	472.764664063	22000.000	38000.000	0.1852
58	Waveform 1	1	473.361997396	473.384664063	22000.000	38000.000	0.1471
58	Spectrogram 1	1	473.361997396	473.384664063	22000.000	38000.000	0.1471
59	Waveform 1	1	474.538664063	474.540664063	22000.000	38000.000	0.6667
59	Spectrogram 1	1	474.538664063	474.540664063	22000.000	38000.000	0.6667
60	Waveform 1	1	503.498664062	503.515997396	22000.000	38000.000	0.0769
60	Spectrogram 1	1	503.498664062	503.515997396	22000.000	38000.000	0.0769
61	Waveform 1	1	506.221997396	506.245330729	22000.000	38000.000	0.0857
61	Spectrogram 1	1	506.221997396	506.245330729	22000.000	38000.000	0.0857
