Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	294.962664062	294.963997396	38000.000	81000.000	1.0000
1	Spectrogram 1	1	294.962664062	294.963997396	38000.000	81000.000	1.0000
2	Waveform 1	1	301.239330729	301.240664063	38000.000	81000.000	1.0000
2	Spectrogram 1	1	301.239330729	301.240664063	38000.000	81000.000	1.0000
3	Waveform 1	1	302.469330729	302.470664063	38000.000	81000.000	1.0000
3	Spectrogram 1	1	302.469330729	302.470664063	38000.000	81000.000	1.0000
4	Waveform 1	1	302.540664063	302.542664062	38000.000	81000.000	1.0000
4	Spectrogram 1	1	302.540664063	302.542664062	38000.000	81000.000	1.0000
5	Waveform 1	1	302.632664062	302.635330729	38000.000	81000.000	0.7500
5	Spectrogram 1	1	302.632664062	302.635330729	38000.000	81000.000	0.7500
6	Waveform 1	1	302.726664062	302.728664063	38000.000	81000.000	1.0000
6	Spectrogram 1	1	302.726664062	302.728664063	38000.000	81000.000	1.0000
7	Waveform 1	1	302.923997396	302.926664062	38000.000	81000.000	1.0000
7	Spectrogram 1	1	302.923997396	302.926664062	38000.000	81000.000	1.0000
8	Waveform 1	1	303.011997396	303.017330729	38000.000	81000.000	0.6250
8	Spectrogram 1	1	303.011997396	303.017330729	38000.000	81000.000	0.6250
9	Waveform 1	1	303.121330729	303.129330729	38000.000	81000.000	0.5000
9	Spectrogram 1	1	303.121330729	303.129330729	38000.000	81000.000	0.5000
10	Waveform 1	1	303.169997396	303.173330729	38000.000	81000.000	0.8000
10	Spectrogram 1	1	303.169997396	303.173330729	38000.000	81000.000	0.8000
11	Waveform 1	1	303.351330729	303.361330729	38000.000	81000.000	0.6667
11	Spectrogram 1	1	303.351330729	303.361330729	38000.000	81000.000	0.6667
12	Waveform 1	1	303.423330729	303.432664063	38000.000	81000.000	0.9286
12	Spectrogram 1	1	303.423330729	303.432664063	38000.000	81000.000	0.9286
13	Waveform 1	1	303.503330729	303.512664062	38000.000	81000.000	0.7857
13	Spectrogram 1	1	303.503330729	303.512664062	38000.000	81000.000	0.7857
14	Waveform 1	1	303.598664063	303.615330729	38000.000	81000.000	0.8400
14	Spectrogram 1	1	303.598664063	303.615330729	38000.000	81000.000	0.8400
15	Waveform 1	1	303.715330729	303.732664063	38000.000	81000.000	0.5769
15	Spectrogram 1	1	303.715330729	303.732664063	38000.000	81000.000	0.5769
16	Waveform 1	1	303.787330729	303.803997396	38000.000	81000.000	0.7600
16	Spectrogram 1	1	303.787330729	303.803997396	38000.000	81000.000	0.7600
17	Waveform 1	1	303.854664062	303.875330729	38000.000	81000.000	0.5806
